price,bedrooms,bathrooms,sqft_living,sqft_lot,floors,view,condition,grade,sqft_above,sqft_basement,yr_built,yr_renovated,zipcode,sqft_living15,sqft_lot15,month
252700,2,1.5,1070,9643,1,0,3,7,1070,0,1985,0,98030,1220,8386,5
329000,3,2.25,2450,6500,2,0,4,8,2450,0,1985,0,98030,2200,6865,11
233000,3,2.0,1710,4697,1,0,5,6,1710,0,1941,0,98002,1030,4705,11
937000,3,1.75,2450,2691,2,0,3,8,1750,700,1915,0,98119,1760,3573,6
667000,3,1.0,1400,1581,1,0,5,8,1400,0,1909,0,98112,1860,3861,12
438000,3,1.75,1520,6380,1,0,3,7,790,730,1948,0,98115,1520,6235,6
719000,4,2.5,2570,7173,2,0,3,8,2570,0,2005,0,98052,2630,6026,3
580500,3,2.5,2320,3980,2,0,3,8,2320,0,2003,0,98027,2580,3980,11
280000,2,1.5,1190,1265,3,0,3,7,1190,0,2005,0,98133,1390,1756,12
687500,4,1.75,2330,5000,1,0,4,7,1510,820,1929,0,98117,1460,5000,6
535000,3,1.0,1090,3000,1,0,4,8,1090,0,1929,0,98117,1570,5080,11
322500,4,2.75,2060,6659,1,0,3,7,1280,780,1981,0,98058,2020,8720,12
696000,3,2.5,2300,3060,1,0,3,8,1510,790,1930,2002,98115,1590,3264,6
550000,4,1.0,1660,34848,1,0,1,5,930,730,1933,0,98052,2160,11467,5
640000,4,2.0,2360,6000,2,0,4,8,2360,0,1904,0,98107,1730,4700,12
240000,4,1.0,1220,8075,1,0,2,7,890,330,1969,0,98001,1290,7800,2
605000,4,2.5,2620,7553,2,0,3,8,2620,0,1996,0,98056,2620,11884,6
625000,4,2.5,2570,5520,2,0,3,9,2570,0,2000,0,98074,2470,5669,7
775000,4,2.25,4220,24186,1,0,3,8,2600,1620,1984,0,98166,2410,30617,8
685000,3,1.0,1570,2280,2,0,3,7,1570,0,1922,0,98119,1580,2640,10
309000,3,1.0,1280,9656,1,0,4,6,920,360,1959,0,98058,1340,8808,7
488000,3,2.5,3160,13603,2,0,3,8,3160,0,2003,0,98019,3050,9232,7
210490,3,1.0,990,8528,1,0,3,6,990,0,1966,0,98023,1228,8840,3
785000,4,2.5,2290,13416,2,0,4,9,2290,0,1981,0,98007,2680,13685,7
450000,3,1.75,1250,5963,1,0,4,7,1250,0,1953,0,98115,970,5100,4
1350000,3,2.5,2753,65005,1,2,5,9,2165,588,1953,0,98070,2680,72513,3
228000,3,1.0,1190,9199,1,0,3,7,1190,0,1955,0,98148,1190,9364,9
345000,5,2.5,3150,9134,1,0,4,8,1640,1510,1966,0,98056,1990,9133,2
600000,3,1.75,1410,4080,1,0,4,7,1000,410,1950,0,98117,1410,4080,12
585000,2,1.75,1980,8550,1,0,3,7,990,990,1981,0,98117,1480,6738,2
920000,5,2.25,2730,6000,1,0,3,8,2130,600,1927,0,98105,2730,6000,3
885000,4,2.5,2830,5000,2,0,3,9,2830,0,1995,0,98105,1950,5000,5
292500,4,2.5,2250,4495,2,0,3,7,2250,0,2008,0,98042,2250,4500,8
301000,3,2.5,2420,4750,2,0,3,8,2420,0,2003,0,98042,2690,4750,4
951000,5,3.25,3250,14342,2,4,4,8,3250,0,1968,0,98008,2960,11044,8
430000,4,3.0,1850,9976,2,0,3,8,1850,0,1991,0,98059,2270,8542,2
650000,3,2.25,2150,21235,1,3,4,8,1590,560,1959,0,98166,2570,18900,12
289000,3,1.75,1260,8400,1,0,3,7,1260,0,1954,0,98148,1290,8750,8
505000,3,1.75,2519,8690,2,0,5,8,2519,0,1973,0,98166,2500,9500,10
549000,3,1.75,1540,1044,3,0,3,8,1540,0,2014,0,98115,1580,3090,12
425000,3,2.25,1660,6000,1,0,3,7,1110,550,1979,0,98122,1440,4080,6
317625,3,2.75,2770,3809,1,0,5,7,1770,1000,1925,0,98144,1440,4000,11
975000,4,2.5,2720,11049,2,0,3,10,2720,0,1989,0,98004,2750,11049,9
287000,4,2.5,2240,4648,2,0,3,7,2240,0,2005,0,98001,2221,4557,10
204000,3,1.0,1000,12070,1,0,4,7,1000,0,1968,0,98042,1010,12635,8
1330000,5,2.25,3200,20158,1,0,3,8,1600,1600,1965,0,98004,3390,20158,6
1040000,5,3.25,4770,50094,1,0,4,11,3070,1700,1973,0,98005,3530,38917,9
325000,3,2.0,1260,5612,1,0,4,7,1260,0,1972,0,98034,1640,4745,1
571000,4,2.0,2750,7807,1,0,5,7,2250,500,1916,0,98125,1510,7807,6
360000,4,2.5,2380,5000,2,0,3,8,2380,0,2005,0,98038,2420,5000,7
349000,3,1.75,1790,50529,1,0,5,7,1090,700,1965,0,98042,1940,50529,3
832500,4,4.0,3430,35102,2,0,4,10,2390,1040,1986,0,98075,3240,35020,11
380000,4,1.75,1760,7300,1,0,3,7,880,880,1956,0,98008,1680,7500,10
480000,3,1.0,1040,5060,1,0,3,7,1040,0,1941,0,98116,890,5060,4
410000,3,1.0,1410,5060,1,0,4,7,910,500,1956,0,98133,1130,5693,6
390000,3,2.5,2350,5100,2,0,3,8,2350,0,2003,0,98038,2350,5363,12
360000,4,2.5,1900,5889,2,0,3,7,1900,0,1992,0,98038,1870,6405,12
355000,2,1.0,2020,6720,1,0,3,7,1010,1010,1948,0,98118,1720,6720,10
356000,3,1.5,1680,8712,1,0,3,8,1680,0,1964,0,98059,1850,8797,1
315000,3,1.0,960,6634,1,0,3,6,960,0,1952,0,98125,1570,7203,6
940000,3,1.5,2140,3600,2,0,3,9,1900,240,1925,0,98119,2020,4800,11
305000,5,2.25,2660,8400,1,0,5,7,2660,0,1961,0,98092,1590,8165,11
461000,3,3.25,2770,6278,2,0,3,9,1980,790,2006,0,98056,1900,7349,6
215000,2,2.25,1610,2040,2,0,4,7,1610,0,1979,0,98056,1950,2025,5
335000,2,1.75,1030,1066,2,0,3,7,765,265,2006,0,98136,1030,1106,9
243500,4,2.5,1980,7403,2,0,3,7,1980,0,1988,0,98023,1980,7510,5
1100000,5,2.75,3520,6353,2,0,4,10,3520,0,2001,0,98199,2520,6250,3
153000,3,1.0,1200,10500,1,0,3,7,1200,0,1962,0,98023,1350,10500,2
430000,3,1.5,1580,5000,1,0,3,8,1290,290,1939,0,98117,1570,4500,7
700000,3,1.5,1580,5000,1,0,3,8,1290,290,1939,0,98117,1570,4500,12
905000,4,2.5,3300,10250,1,0,3,7,2390,910,1946,1991,98040,1950,6045,9
247500,3,1.75,1960,15681,1,0,3,7,1960,0,1967,0,98032,1750,15616,3
199000,4,1.5,1160,6400,1,0,4,7,1160,0,1975,0,98023,1160,6400,9
314000,3,1.75,1810,41800,1,0,5,7,1210,600,1980,0,98038,1650,135036,7
437500,3,2.5,2320,36847,2,2,3,9,2320,0,1992,0,98045,2550,35065,5
850830,3,2.5,2070,13241,1,0,5,9,1270,800,1910,0,98102,2200,4500,6
555000,3,2.0,1980,3478,1,0,4,7,1440,540,1929,0,98117,1610,3478,10
699950,3,2.25,2190,107593,2,0,4,8,2190,0,1983,0,98077,2570,47777,12
1090000,3,2.5,2920,8113,2,0,3,8,2920,0,1950,2010,98004,2370,8113,10
290000,3,1.0,1210,33919,1,0,3,7,1210,0,1954,0,98058,1640,14910,9
375000,3,2.5,2340,10005,1,0,4,8,1460,880,1978,0,98058,2250,8162,4
460000,3,1.0,1670,4005,1,0,4,7,1170,500,1939,0,98117,1240,4005,5
188500,2,1.75,1240,2493,1,0,4,8,1240,0,1985,0,98198,1270,4966,7
680000,4,2.5,3140,28037,2,0,4,10,3140,0,1991,0,98077,2990,35001,3
470000,5,1.75,2030,12342,2,0,4,7,2030,0,1942,0,98052,2500,9433,8
597750,4,2.5,2310,9624,2,0,3,8,2310,0,1984,0,98027,1940,9636,7
570000,3,1.75,1260,3328,1,0,5,6,700,560,1905,0,98103,1380,3536,3
329950,3,1.75,2080,5969,1,2,3,7,1080,1000,1971,0,98108,2090,5500,11
518500,3,3.5,1590,1102,3,0,3,8,1590,0,2010,0,98103,1620,3166,6
205425,2,1.0,880,6780,1,0,4,6,880,0,1945,0,98178,1190,6780,6
171800,4,2.0,1570,9600,1,0,3,6,1570,0,1950,0,98168,1880,9000,1
535000,4,1.0,1610,2982,1,0,4,7,1610,0,1925,0,98144,1610,4040,5
660000,3,2.5,2400,6474,1,2,3,8,1560,840,1964,0,98177,2340,10856,1
391500,3,2.0,1450,9132,1,0,3,7,1450,0,1987,0,98034,1580,9104,11
395000,2,1.0,770,6000,1,0,3,6,770,0,1953,0,98117,1710,6000,4
445000,4,1.75,2100,4400,1,0,5,7,1720,380,1924,0,98118,1850,4400,11
770000,3,2.25,2910,10204,2,0,3,9,2910,0,1990,0,98052,2700,13992,6
1450000,4,2.75,2750,17789,1,0,3,8,1980,770,1914,1992,98004,3060,11275,3
445000,3,2.25,2100,8201,1,2,3,8,1620,480,1967,0,98178,2660,8712,7
260000,4,2.25,2160,8811,1,0,3,8,1360,800,1978,0,98023,2090,8400,7
822500,5,3.5,2320,4960,2,0,5,7,1720,600,1926,0,98103,1700,4960,6
212000,3,1.75,1060,7875,1,0,4,7,1060,0,1986,0,98092,1420,7680,1
660500,4,2.25,2010,9603,1,0,3,8,1440,570,1986,0,98027,2060,9793,4
784000,3,3.5,3950,111078,1,0,3,9,2460,1490,1989,0,98052,2480,88500,6
453246,3,2.5,2010,2287,2,0,3,8,1390,620,2014,0,98029,1690,1662,5
675000,4,3.5,2140,2278,3,0,3,9,2140,0,2005,0,98107,1540,2285,1
199000,3,1.75,1320,17390,1,0,4,7,1320,0,1956,0,98003,1550,19265,8
220000,4,1.75,2020,7840,1,0,3,7,1010,1010,1968,0,98003,1750,8140,8
452000,4,2.25,2590,10002,1,0,4,8,1340,1250,1968,0,98028,1550,10436,5
382500,2,1.0,1190,4440,1,0,3,6,1190,0,1981,0,98125,1060,5715,7
519950,3,2.25,1170,1249,3,0,3,8,1170,0,2014,0,98107,1350,1310,5
665000,2,1.0,1110,3200,1,0,3,7,1110,0,1925,0,98119,1170,3600,6
527700,5,2.5,2820,9375,1,0,4,8,1550,1270,1968,0,98006,2820,9375,7
205000,3,1.0,1610,8579,1,0,4,7,1010,600,1962,0,98058,1610,8579,5
420000,3,1.0,1060,8097,1,0,4,7,940,120,1923,0,98133,1560,7940,4
500000,4,2.25,2030,8517,1,0,4,8,1380,650,1961,0,98006,2230,8824,2
921500,4,2.5,3670,315374,2,0,4,9,3670,0,1994,0,98077,2840,87991,12
890000,4,1.0,2550,4000,2,0,3,8,2370,180,1905,0,98109,2200,4000,6
430000,2,2.5,2420,60984,2,0,3,7,2420,0,2007,0,98027,1940,193842,8
258000,5,2.0,2260,12500,1,0,4,8,1130,1130,1960,0,98032,1360,18000,10
511000,3,1.0,1430,3455,1,0,3,7,980,450,1947,0,98103,1450,4599,11
532170,3,2.0,1360,3090,2,0,3,8,1360,0,1990,0,98103,1500,3090,8
560000,3,1.0,1110,5000,1,0,3,7,1110,0,1947,0,98107,1420,5000,4
282950,3,1.0,1250,8200,1,0,4,7,1250,0,1954,0,98003,1680,8633,3
2250000,4,3.25,5180,19850,2,3,3,12,3540,1640,2006,0,98006,3160,9750,4
350000,1,1.0,700,5100,1,0,3,7,700,0,1942,0,98115,1010,5100,5
215000,3,1.0,1180,7669,1,0,4,7,1180,0,1967,0,98058,1190,7669,7
650000,5,3.5,3960,25245,2,0,3,9,2500,1460,1996,0,98056,2640,13675,11
320000,4,2.75,2640,7500,1,0,3,8,1620,1020,1967,0,98023,1980,7875,8
247000,3,2.0,1270,7198,1,0,3,7,1270,0,1916,2013,98022,1160,7198,11
320000,4,1.75,1760,11180,1,0,4,8,1760,0,1968,0,98059,1730,11180,10
255000,5,2.25,2060,8632,1,0,3,7,1030,1030,1962,0,98146,1010,11680,5
438000,3,1.75,1780,9660,1,0,3,7,1780,0,1962,0,98034,1200,9660,3
900000,3,2.5,3400,16603,2,0,3,10,3400,0,2000,0,98075,3400,12601,3
441000,3,2.75,1910,7280,1,0,3,7,1160,750,1979,0,98034,1710,8152,6
420000,3,2.0,2020,38332,1,0,4,7,1010,1010,1975,0,98027,2110,36590,8
370000,3,1.75,1580,7000,1,0,3,7,1180,400,1976,0,98034,1640,7500,12
269950,2,1.75,1340,7250,1,0,5,5,700,640,1949,0,98198,1830,9750,2
807100,4,2.5,2680,4499,2,0,3,9,2680,0,1999,0,98006,2920,4500,3
653000,3,2.5,2680,9750,1,0,4,8,1610,1070,1979,0,98034,2480,8750,6
371500,3,2.0,1370,8336,1,0,5,7,1370,0,1964,0,98133,1770,7288,6
284000,3,1.75,1560,21000,1,0,3,7,1560,0,1954,0,98166,1070,7920,3
272000,3,1.75,2160,7140,1,0,4,7,1670,490,1978,0,98023,1930,7350,1
313000,3,1.5,1340,7912,1,0,3,7,1340,0,1955,0,98133,1480,7940,5
917500,4,2.5,3880,35003,2,0,3,10,2570,1310,1984,0,98033,3740,35230,1
673000,4,2.25,2590,8190,2,0,4,8,2590,0,1980,0,98006,2260,8335,9
425000,3,2.5,1120,1100,2,0,3,8,820,300,2008,0,98122,1590,1795,2
399950,5,2.75,1970,5400,1,0,3,7,1320,650,1986,0,98144,1280,2150,7
385000,3,1.0,1220,4800,1,0,3,6,1220,0,1901,0,98122,1200,4800,5
269950,3,1.5,1950,7560,1,2,4,7,1320,630,1975,0,98022,1950,8941,11
330000,2,1.0,1350,8220,1,0,3,7,1060,290,1949,0,98177,1540,8280,1
260000,3,2.5,1670,5797,2,0,3,7,1670,0,1988,0,98030,1670,6183,7
470000,4,3.0,2380,5125,1,0,4,7,1680,700,1925,0,98126,1410,5375,4
589000,4,3.0,2440,9600,2,0,5,7,2440,0,1961,0,98034,2290,9600,6
163500,2,1.5,1050,3419,2,0,3,7,1050,0,1996,0,98038,1050,3417,7
835000,4,2.75,3130,13412,2,0,3,9,2140,990,1993,0,98052,2260,9984,9
1100000,5,3.0,4090,12850,1,2,4,10,2090,2000,1986,0,98033,2540,10270,11
269000,4,1.75,1490,10000,1,0,4,8,1100,390,1969,0,98023,2190,8910,4
560000,3,2.5,1900,8744,2,0,3,8,1900,0,1987,0,98074,2030,8744,5
615000,4,1.0,1330,2400,1,0,4,6,1330,0,1901,0,98103,1330,4400,4
585188,3,2.25,2230,10026,1,0,3,8,1430,800,1975,0,98052,2230,9340,12
305000,3,1.75,1650,9480,1,0,3,7,1220,430,1977,0,98034,1540,8400,8
166950,3,1.0,1190,8820,1,0,3,6,1190,0,1959,0,98058,1230,7980,11
799000,3,2.5,2140,9897,1,0,4,8,2140,0,1959,0,98040,2680,10083,9
400000,3,2.5,2180,7508,1,0,4,7,1420,760,1962,0,98133,1900,7818,6
230000,3,1.0,1060,10228,1,0,3,7,1060,0,1948,0,98155,1570,10228,12
256883,3,2.5,1690,5025,2,0,3,8,1690,0,2003,0,98023,2550,5001,5
423000,4,2.0,1970,6480,1,0,5,7,1130,840,1920,0,98108,1500,6480,11
465000,3,2.5,2150,4084,2,0,3,8,2150,0,2007,0,98126,1750,2385,7
440000,3,2.5,1910,66211,2,0,3,7,1910,0,1997,0,98024,2330,67268,1
385000,3,1.75,1350,155073,1,0,4,7,1350,0,1969,0,98038,1560,50965,10
210000,3,1.0,860,11725,1,0,4,6,860,0,1943,0,98056,1300,9514,3
297000,3,2.5,1940,14952,2,0,3,8,1940,0,1994,0,98042,2030,10450,11
470000,3,1.0,1010,5000,1,0,3,7,1010,0,1952,0,98107,1680,5000,7
226500,3,1.5,1300,7370,1,0,4,7,900,400,1976,0,98023,1430,7500,8
274250,3,1.0,910,8450,1,0,4,6,910,0,1962,0,98059,1400,8040,3
677900,3,2.5,2440,4587,2,0,3,8,2440,0,2010,0,98052,2750,4587,9
425000,3,1.0,1010,5864,1,0,3,7,1010,0,1915,0,98116,1290,5000,2
180250,2,0.75,900,9600,1,0,3,6,900,0,1941,0,98166,1250,14280,11
464000,6,3.0,2300,3404,2,0,3,7,1600,700,1920,1994,98133,1560,1312,7
320000,4,2.25,1550,7579,2,0,3,8,1550,0,1993,0,98038,1630,6397,4
625504,3,2.25,1270,1566,2,0,3,8,1060,210,2014,0,98105,1160,1327,7
592500,4,2.5,2240,12032,1,0,3,9,2240,0,1983,0,98074,2520,12368,5
465000,3,2.5,2714,17936,2,0,3,9,2714,0,2005,0,98001,2590,18386,1
477000,4,2.75,1720,6270,2,0,3,8,1720,0,1978,0,98118,2130,8700,5
280000,2,1.0,850,16400,1,0,3,6,850,0,1923,0,98168,1100,14459,1
1510000,5,3.0,3300,33474,1,3,3,9,1870,1430,1957,1991,98040,3836,20953,2
1070000,2,2.25,3900,14864,1,3,3,8,1950,1950,1947,0,98144,2580,5184,8
467000,2,1.5,1320,10800,1,0,4,8,1320,0,1947,0,98177,2120,12040,10
686000,4,2.5,2760,6440,2,0,3,10,2760,0,1999,0,98075,3070,8127,8
279950,3,2.0,1750,9750,1,0,3,7,1350,400,1961,0,98198,1900,10125,6
527000,4,2.25,2330,19436,2,0,3,8,2330,0,1987,0,98011,1910,10055,9
325000,3,2.25,2220,16020,1,0,4,8,1780,440,1966,0,98030,2080,9583,9
328000,3,2.25,2020,8379,2,0,3,7,2020,0,1994,0,98038,2020,8031,9
390000,3,2.25,1250,7500,1,0,5,7,1250,0,1942,0,98146,1280,7392,6
479950,2,2.0,1510,6516,1,0,3,8,1510,0,2005,0,98053,1640,6009,3
264950,4,2.25,1720,9753,1,0,4,7,1120,600,1978,0,98023,1510,9753,5
235000,3,1.0,1430,15246,1,0,4,7,980,450,1961,0,98031,1960,13068,1
516500,3,2.5,1480,4729,2,0,3,7,1480,0,2004,0,98053,2250,4729,3
655000,2,1.75,1450,15798,2,4,3,7,1230,220,1915,1978,98166,2030,13193,4
500000,4,2.75,2280,15347,1,0,5,7,2280,0,1960,0,98059,2280,15347,6
315000,6,2.75,2940,7350,1,0,3,8,1780,1160,1978,0,98023,2120,8236,11
213000,2,1.0,1000,10200,1,0,3,6,1000,0,1961,0,98024,1150,13702,11
475000,3,1.5,2480,5280,1,0,5,7,1620,860,1947,0,98108,2090,4800,9
1030000,5,4.0,3760,28040,2,0,3,10,3760,0,1983,0,98033,3430,35096,6
416000,3,2.0,2220,94300,1,0,5,7,1640,580,1976,0,98010,2070,80100,4
410000,4,1.0,1970,4740,1,0,3,7,1670,300,1904,2005,98122,1510,4740,3
800000,3,3.5,3830,221284,2,0,3,10,3530,300,1993,0,98077,2920,148539,7
472000,6,2.5,4410,14034,1,2,4,9,2350,2060,1965,0,98003,2600,13988,5
225000,3,1.75,1430,8505,1,0,4,7,1430,0,1968,0,98003,1190,8640,12
210000,2,1.0,830,6000,1,0,3,6,830,0,1940,0,98126,830,4960,10
455000,2,1.0,1430,5000,1,0,2,7,1430,0,1925,0,98115,1450,3750,1
225000,3,1.0,1300,8316,1,0,4,6,1300,0,1954,0,98002,1260,8316,4
480000,2,1.0,1030,3060,1,2,4,7,790,240,1918,0,98103,1390,3060,8
363000,3,2.5,2740,11872,2,0,3,9,2740,0,1990,0,98023,2570,10377,2
2400000,4,2.5,3650,8354,1,4,3,9,1830,1820,2000,0,98074,3120,18841,9
181000,2,1.5,720,5120,1,0,3,6,720,0,1954,0,98106,1150,2566,2
250000,4,2.0,2010,7312,1,0,4,7,2010,0,1976,0,98002,2010,7650,3
481000,3,1.75,1560,3000,1,0,4,6,770,790,1918,0,98103,1390,3000,4
260000,3,2.0,1810,7209,1,0,4,7,1240,570,1978,0,98032,1750,7209,9
455000,4,2.5,3360,7685,2,0,3,9,3360,0,2001,0,98058,3060,6567,5
415000,3,2.25,1510,36224,2,0,3,8,1510,0,1991,0,98045,1730,36224,4
349500,3,1.0,1400,3538,1,0,3,7,800,600,1953,0,98118,1620,6331,4
245000,3,2.5,1730,7442,2,0,3,7,1730,0,1987,0,98030,1630,6458,9
592500,2,2.0,1420,9191,1,2,5,7,1420,0,1928,0,98115,1420,6816,5
385000,4,1.75,2360,7620,1,0,4,7,1180,1180,1955,0,98106,1910,7620,10
315000,3,1.75,1580,11455,1,0,4,7,1200,380,1974,0,98059,1550,10650,2
255000,3,1.0,1230,10170,1,0,3,7,1230,0,1979,0,98045,1380,10098,11
693000,4,2.5,2460,4425,2,0,3,8,2460,0,2006,0,98052,2990,5659,8
780000,3,1.0,1660,4400,1,0,3,8,1460,200,1911,0,98112,1660,4400,12
237000,3,1.75,1270,8470,1,0,4,7,1270,0,1960,0,98198,1600,8470,10
525000,3,2.25,2100,40510,2,0,3,10,1320,780,1979,0,98074,2380,33450,12
425000,2,1.0,770,5040,1,0,3,5,770,0,1930,0,98144,1330,2580,4
369900,1,0.75,760,10079,1,4,5,5,760,0,1936,0,98070,1230,14267,10
290000,4,2.5,1700,7280,2,0,4,7,1700,0,1988,0,98031,1950,7475,5
285000,3,1.0,1120,10701,1,0,3,7,1120,0,1954,0,98106,1130,6350,9
415000,2,1.0,1070,4500,1,0,3,7,1070,0,1937,0,98115,1320,4465,8
272500,3,2.5,2070,9900,1,0,3,8,1420,650,1979,0,98023,2070,8250,4
2900000,4,3.25,5050,20100,1,2,3,11,4750,300,1982,0,98004,3890,20060,5
1370000,4,4.75,5310,57346,2,0,4,11,5310,0,1989,0,98077,4180,47443,10
436000,2,1.0,1040,7538,1,0,4,7,1040,0,1939,0,98133,1440,7530,5
210000,3,1.0,1700,11390,1,0,4,7,1700,0,1967,0,98003,1350,8164,10
236000,3,1.0,1300,5898,1,0,3,7,1300,0,1961,0,98178,1320,7619,9
331000,3,1.75,1080,1306,1,0,3,7,580,500,1954,2003,98199,1440,2225,11
365000,3,2.5,2653,4510,2,0,3,8,2653,0,2006,0,98031,2653,4927,3
450000,3,2.0,2290,16258,1,0,5,8,2290,0,1960,0,98058,1660,10530,1
770000,4,2.75,3820,26300,2,0,3,9,2850,970,2014,0,98028,1860,12136,11
455000,4,2.5,2210,49375,1,0,3,8,2210,0,1997,0,98038,2670,49385,5
405000,3,1.75,2390,6000,1,0,3,6,1240,1150,1908,0,98118,2020,6000,5
304900,4,1.75,2600,11325,1,0,4,7,1610,990,1969,0,98031,1720,11088,7
170000,2,1.0,860,5265,1,0,3,6,860,0,1931,0,98178,1650,8775,2
2050000,5,3.0,3830,8480,2,1,5,9,2630,1200,1905,1994,98122,3050,7556,5
780000,4,2.5,3500,7048,2,0,3,9,3500,0,2005,0,98053,3920,7864,6
330000,3,3.0,2420,13959,1,0,4,8,1740,680,1988,0,98028,2570,13300,4
370000,4,2.5,2720,8666,2,0,3,9,2720,0,1992,0,98030,2410,8100,9
467000,5,2.25,2500,13500,1,0,3,7,1850,650,1979,0,98072,2300,9750,10
405000,3,1.75,1670,6720,1,0,3,7,1140,530,1980,0,98034,1670,7320,2
675000,5,2.25,2900,10300,1,0,3,8,1450,1450,1985,0,98006,2310,10300,7
500000,2,1.0,1640,14100,1,0,4,7,1140,500,1954,0,98006,1520,13527,8
389999,4,2.5,1890,15770,2,0,4,7,1890,0,1968,0,98166,2410,15256,7
630000,4,1.75,2950,9025,1,2,4,8,1780,1170,1975,0,98034,2120,9600,2
360000,4,2.5,2160,9528,2,0,3,9,2160,0,1992,0,98001,2280,9937,10
580000,4,3.0,3280,11060,2,0,3,8,2270,1010,1986,0,98056,2320,11004,10
550000,3,2.0,1970,4166,2,3,5,8,1270,700,1929,0,98126,2390,4166,7
879000,4,2.5,3360,22111,2,0,3,10,3360,0,1994,0,98075,3150,11374,7
265000,3,2.0,1320,8959,1,0,3,7,1320,0,1993,0,98042,1740,7316,8
446500,3,2.5,2650,7286,2,0,3,8,2650,0,1990,0,98059,2400,7220,3
404000,3,1.5,2030,8880,1,0,3,7,1330,700,1963,0,98108,2140,5592,6
267500,3,1.75,1590,11914,1,2,3,7,1090,500,1957,0,98188,1630,9052,5
3080000,4,5.0,4550,18641,1,4,3,10,2600,1950,2002,0,98074,4550,19508,6
335000,3,2.5,2440,7632,2,0,3,8,2440,0,1998,0,98003,2510,7903,8
576000,3,2.5,1940,9000,1,0,4,7,970,970,1948,0,98117,2190,7310,6
208633,3,2.5,2040,3810,2,0,3,8,2040,0,2006,0,98038,2370,4590,4
315000,3,2.25,2200,8750,1,0,4,7,1120,1080,1964,0,98166,1460,10139,1
725000,3,1.75,1920,3300,1,0,4,8,960,960,1913,0,98112,1740,4000,2
550000,4,2.75,1800,7750,1,0,4,8,1400,400,1965,0,98177,1800,8275,4
610750,4,2.25,2180,7297,2,0,3,8,2180,0,1984,0,98074,2250,9781,6
550700,2,1.0,1010,5000,1,0,4,6,1010,0,1908,0,98105,1460,5000,2
834000,4,2.5,2370,4000,1,2,5,8,1980,390,1928,0,98144,2440,5750,2
201000,5,1.75,1660,78408,1,0,3,6,1660,0,1915,0,98065,1660,78408,10
2380000,5,2.5,3650,9050,2,4,5,10,3370,280,1921,0,98119,2880,5400,5
1380000,4,3.25,4290,12103,1,3,3,11,2690,1600,1997,0,98006,3860,11244,6
1400000,4,3.25,4290,12103,1,3,3,11,2690,1600,1997,0,98006,3860,11244,12
305000,4,2.25,1950,7700,1,0,3,8,1350,600,1979,0,98058,2150,7350,11
487000,3,2.0,2590,14052,1,0,5,8,1720,870,1948,0,98133,1570,8162,4
390000,3,2.5,1930,64904,1,0,4,8,1930,0,1988,0,98042,2350,57500,5
548000,2,1.0,1470,3864,1,0,4,7,1170,300,1916,0,98103,1570,3864,7
268750,4,1.0,800,8775,1,0,3,6,800,0,1943,0,98166,1310,8775,11
819900,5,2.75,3150,7119,2,0,3,9,3150,0,2013,0,98052,1560,8384,5
520000,3,2.25,2030,16200,2,0,3,8,2030,0,1984,0,98027,2660,17958,10
230000,3,2.0,1450,11204,1,0,3,7,1450,0,2003,0,98001,1520,9518,7
240000,3,1.75,1510,10248,1,0,3,7,1510,0,1969,0,98023,1510,9753,2
232000,2,1.0,1240,12092,1,0,3,6,960,280,1922,1984,98146,1820,7460,9
240500,2,1.0,1240,12092,1,0,3,6,960,280,1922,1984,98146,1820,7460,3
